Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-11-15 00:00:00-05:00,2.8499999046325684,2.950000047683716,2.619999885559082,2.700000047683716,21100,0.0,0.0
2023-11-16 00:00:00-05:00,2.7899999618530273,2.819999933242798,2.7300000190734863,2.7899999618530273,7600,0.0,0.0
2023-11-17 00:00:00-05:00,2.6500000953674316,2.930000066757202,2.630000114440918,2.809999942779541,3900,0.0,0.0
2023-11-20 00:00:00-05:00,2.930000066757202,3.950000047683716,2.930000066757202,3.5999999046325684,87100,0.0,0.0
2023-11-21 00:00:00-05:00,3.5999999046325684,3.7799999713897705,3.430000066757202,3.740000009536743,23500,0.0,0.0
2023-11-22 00:00:00-05:00,3.5199999809265137,4.099999904632568,3.5199999809265137,3.7799999713897705,31600,0.0,0.0
2023-11-24 00:00:00-05:00,3.8299999237060547,4.199999809265137,3.809999942779541,4.050000190734863,64700,0.0,0.0
2023-11-27 00:00:00-05:00,4.400000095367432,4.400000095367432,3.0199999809265137,3.2300000190734863,531900,0.0,0.0
2023-11-28 00:00:00-05:00,3.259999990463257,3.4100000858306885,2.9000000953674316,3.3399999141693115,199000,0.0,0.0
2023-11-29 00:00:00-05:00,3.5299999713897705,3.569999933242798,2.950000047683716,3.190000057220459,172300,0.0,0.0
2023-11-30 00:00:00-05:00,3.0799999237060547,3.4600000381469727,2.950000047683716,3.140000104904175,130200,0.0,0.0
2023-12-01 00:00:00-05:00,3.0999999046325684,3.440000057220459,3.0,3.4200000762939453,197900,0.0,0.0
2023-12-04 00:00:00-05:00,3.7899999618530273,3.799999952316284,3.2699999809265137,3.6500000953674316,343800,0.0,0.0
2023-12-05 00:00:00-05:00,3.740000009536743,4.199999809265137,3.509999990463257,3.940000057220459,472400,0.0,0.0
2023-12-06 00:00:00-05:00,4.110000133514404,4.239999771118164,3.569999933242798,3.569999933242798,276500,0.0,0.0
2023-12-07 00:00:00-05:00,3.5799999237060547,3.6600000858306885,3.1600000858306885,3.309999942779541,163800,0.0,0.0
